	hi_protein	pa_protein	sa_mrsa_protein
Number of genes	1720	5571	2948
Number of genes in orthogroups	1312	3741	1677
Number of unassigned genes	408	1830	1271
Percentage of genes in orthogroups	76.3	67.2	56.9
Percentage of unassigned genes	23.7	32.8	43.1
Number of orthogroups containing species	1144	1739	1158
Percentage of orthogroups containing species	57.1	86.7	57.8
Number of species-specific orthogroups	39	397	161
Number of genes in species-specific orthogroups	84	1394	443
Percentage of genes in species-specific orthogroups	4.9	25.0	15.0


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	861	266	847
'1	1007	979	834
'2	112	416	230
'3	20	138	54
'4	4	84	17
'5	1	29	9
'6	0	27	5
'7	0	12	5
'8	0	8	1
'9	0	5	0
'10	0	7	2
11-15	0	20	1
16-20	0	7	0
21-50	0	6	0
51-100	0	1	0
101-150	0	0	0
151-200	0	0	0
201-500	0	0	0
501-1000	0	0	0
'1001+	0	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups
'0	42.9	13.3	42.2
'1	50.2	48.8	41.6
'2	5.6	20.7	11.5
'3	1.0	6.9	2.7
'4	0.2	4.2	0.8
'5	0.0	1.4	0.4
'6	0.0	1.3	0.2
'7	0.0	0.6	0.2
'8	0.0	0.4	0.0
'9	0.0	0.2	0.0
'10	0.0	0.3	0.1
11-15	0.0	1.0	0.0
16-20	0.0	0.3	0.0
21-50	0.0	0.3	0.0
51-100	0.0	0.0	0.0
101-150	0.0	0.0	0.0
151-200	0.0	0.0	0.0
201-500	0.0	0.0	0.0
501-1000	0.0	0.0	0.0
'1001+	0.0	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes	Number of genes
'0	0	0	0
'1	1007	979	834
'2	224	832	460
'3	60	414	162
'4	16	336	68
'5	5	145	45
'6	0	162	30
'7	0	84	35
'8	0	64	8
'9	0	45	0
'10	0	70	20
11-15	0	250	15
16-20	0	128	0
21-50	0	181	0
51-100	0	51	0
101-150	0	0	0
151-200	0	0	0
201-500	0	0	0
501-1000	0	0	0
'1001+	0	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes	Percentage of genes
'0	0.0	0.0	0.0
'1	58.5	17.6	28.3
'2	13.0	14.9	15.6
'3	3.5	7.4	5.5
'4	0.9	6.0	2.3
'5	0.3	2.6	1.5
'6	0.0	2.9	1.0
'7	0.0	1.5	1.2
'8	0.0	1.1	0.3
'9	0.0	0.8	0.0
'10	0.0	1.3	0.7
11-15	0.0	4.5	0.5
16-20	0.0	2.3	0.0
21-50	0.0	3.2	0.0
51-100	0.0	0.9	0.0
101-150	0.0	0.0	0.0
151-200	0.0	0.0	0.0
201-500	0.0	0.0	0.0
501-1000	0.0	0.0	0.0
'1001+	0.0	0.0	0.0
